1.923650,0.156776,0.892424,0.024051,-0.032989,-0.004369,0.999157,0.317400,0.128653,-0.067279,0.656832,-0.310793,0.118426,0.334267,-0.257118,-0.002631,0.704506,-0.404309,0.049966,0.044631,-0.034426,-0.122625,0.472441,1.564606,-0.093045,0.449185,-0.534511,0.503362,0.523440,0.573088,-1.426405,-0.082237,0.575580,-0.067044,0.421537,0.437893
1.923820,0.156778,0.892371,0.024010,-0.033341,-0.005300,0.999142,0.318345,0.129495,-0.063056,0.657696,-0.310185,0.119899,0.336477,-0.257029,-0.000083,0.705499,-0.404182,0.045668,0.044773,-0.033600,-0.122466,0.471646,1.564386,-0.093139,0.450574,-0.532339,0.502904,0.523845,0.570566,-1.426103,-0.081241,0.572314,-0.067345,0.419048,0.443167
1.923921,0.156781,0.892323,0.023734,-0.033675,-0.006125,0.999132,0.318948,0.131172,-0.058273,0.658118,-0.309133,0.123082,0.338329,-0.256324,0.002011,0.706476,-0.404285,0.041563,0.044835,-0.033380,-0.121818,0.470544,1.563979,-0.091102,0.450958,-0.531594,0.503170,0.525601,0.568960,-1.425608,-0.080155,0.570100,-0.067371,0.416584,0.442567
1.924085,0.156757,0.892281,0.023182,-0.034015,-0.006827,0.999129,0.319659,0.133539,-0.053631,0.658518,-0.308038,0.125292,0.340191,-0.254954,0.005724,0.707314,-0.405107,0.035601,0.044766,-0.033573,-0.121777,0.470195,1.563485,-0.089756,0.451604,-0.530999,0.504807,0.524117,0.567890,-1.425339,-0.079308,0.568176,-0.067452,0.415805,0.438828
1.924217,0.156790,0.892185,0.023394,-0.034127,-0.007601,0.999115,0.319969,0.134303,-0.047863,0.658935,-0.307325,0.127472,0.341301,-0.255363,0.007416,0.707979,-0.404686,0.030035,0.044962,-0.032416,-0.122100,0.469410,1.563314,-0.088252,0.452297,-0.528936,0.502801,0.524478,0.566883,-1.424763,-0.078117,0.566443,-0.066991,0.414784,0.441434
1.924318,0.156825,0.892169,0.023181,-0.034216,-0.008255,0.999111,0.320053,0.136197,-0.042084,0.659141,-0.306461,0.130892,0.342393,-0.254923,0.009971,0.708595,-0.404147,0.025414,0.044895,-0.032518,-0.122424,0.468788,1.563218,-0.085727,0.452527,-0.528538,0.503274,0.524690,0.565516,-1.424040,-0.077517,0.564518,-0.066906,0.414099,0.440949
1.924509,0.156883,0.892079,0.023206,-0.034100,-0.008954,0.999109,0.319680,0.137487,-0.035982,0.659326,-0.306248,0.133813,0.343268,-0.255062,0.012357,0.709260,-0.403180,0.019539,0.044848,-0.032041,-0.123648,0.468544,1.563241,-0.084262,0.452791,-0.526929,0.501979,0.527187,0.565478,-1.423436,-0.077021,0.563649,-0.066413,0.414699,0.439648
1.924631,0.156932,0.891952,0.023156,-0.033884,-0.009517,0.999112,0.319219,0.139026,-0.030119,0.659375,-0.304949,0.137685,0.343669,-0.255061,0.013928,0.709846,-0.401431,0.015605,0.044889,-0.031944,-0.124438,0.468312,1.563862,-0.084125,0.452936,-0.524779,0.502163,0.526698,0.564761,-1.422326,-0.075557,0.562120,-0.066897,0.414224,0.443911
1.924833,0.157052,0.891947,0.022532,-0.033693,-0.009874,0.999129,0.318791,0.141696,-0.024604,0.659366,-0.304504,0.140174,0.344242,-0.253808,0.016297,0.710595,-0.399904,0.009469,0.044867,-0.033040,-0.125321,0.467560,1.564576,-0.084621,0.453201,-0.523363,0.502431,0.527980,0.563968,-1.421279,-0.074177,0.560670,-0.066961,0.414278,0.443258
1.924970,0.157101,0.891872,0.023037,-0.033111,-0.010359,0.999132,0.317571,0.141769,-0.019620,0.659364,-0.304248,0.142769,0.343722,-0.255113,0.017894,0.711251,-0.397785,0.004823,0.044813,-0.031637,-0.126865,0.467298,1.565295,-0.084885,0.453166,-0.522021,0.502711,0.530238,0.563410,-1.420471,-0.073385,0.558980,-0.067386,0.411222,0.439769
