1.821756,0.075568,0.763119,0.066065,-0.034481,-0.238312,0.968325,1.012844,0.199976,0.551199,1.322069,-0.283660,0.026858,-0.225217,-0.181582,0.091384,0.610652,-0.485847,0.262000,0.065137,0.024659,-0.188005,0.464193,1.377718,0.146321,0.462504,-0.356744,0.449691,0.424567,0.615658,-1.473852,-0.262637,0.678102,-0.160207,0.141542,0.708237
1.821718,0.075793,0.763161,0.065890,-0.034488,-0.238312,0.968337,1.012689,0.200147,0.551187,1.321722,-0.283276,0.027394,-0.224868,-0.181207,0.091998,0.611295,-0.485423,0.262000,0.065062,0.024199,-0.188099,0.464614,1.377669,0.147075,0.463139,-0.356300,0.449452,0.426173,0.615394,-1.473498,-0.262225,0.677905,-0.161550,0.139100,0.706998
1.821639,0.076079,0.763183,0.064585,-0.033926,-0.238304,0.968447,1.011860,0.203270,0.552308,1.321453,-0.283667,0.026915,-0.225722,-0.178065,0.092117,0.611387,-0.486114,0.262000,0.064686,0.020674,-0.188811,0.465575,1.378307,0.144505,0.465773,-0.351422,0.444750,0.443010,0.616265,-1.475133,-0.264993,0.678457,-0.156862,0.154700,0.690517
1.821623,0.076236,0.763230,0.065697,-0.034626,-0.238292,0.968350,1.012806,0.200128,0.551091,1.321710,-0.282654,0.027836,-0.224853,-0.181364,0.092048,0.611471,-0.487003,0.262000,0.064550,0.023251,-0.188438,0.465965,1.377360,0.148696,0.464087,-0.355909,0.450782,0.425318,0.616229,-1.473356,-0.263103,0.678425,-0.161868,0.155630,0.688562
1.821591,0.076459,0.763251,0.065466,-0.034644,-0.238186,0.968391,1.012876,0.200486,0.550934,1.321544,-0.282541,0.027981,-0.224978,-0.180923,0.092586,0.611672,-0.488554,0.262000,0.064418,0.022303,-0.188551,0.465659,1.377395,0.149054,0.463809,-0.355407,0.450391,0.428171,0.616002,-1.472821,-0.262592,0.678389,-0.164350,0.137543,0.707525
1.821538,0.076663,0.763278,0.065416,-0.034753,-0.238154,0.968399,1.012982,0.200303,0.550815,1.321563,-0.282016,0.027974,-0.224882,-0.181265,0.092580,0.611680,-0.488636,0.262000,0.064514,0.022231,-0.188576,0.465448,1.377506,0.148527,0.463820,-0.354691,0.450230,0.426590,0.616061,-1.472726,-0.261988,0.677347,-0.162369,0.144766,0.703568
1.821512,0.076884,0.763320,0.065153,-0.034915,-0.238129,0.968417,1.013263,0.200819,0.550693,1.321291,-0.281825,0.028536,-0.224519,-0.180966,0.092898,0.611923,-0.489535,0.262000,0.064457,0.021468,-0.188253,0.465663,1.377386,0.148312,0.463306,-0.354722,0.449127,0.429683,0.616075,-1.472526,-0.261347,0.676050,-0.164153,0.141575,0.702820
1.821379,0.077094,0.763379,0.064854,-0.034931,-0.238280,0.968399,1.012816,0.201079,0.550833,1.321144,-0.281972,0.028713,-0.224378,-0.180368,0.093053,0.612071,-0.489202,0.262000,0.064788,0.021136,-0.187653,0.464416,1.377457,0.147527,0.462764,-0.355148,0.448827,0.429152,0.615798,-1.472028,-0.259516,0.675695,-0.165473,0.143540,0.704043
1.821326,0.077323,0.763411,0.064679,-0.034947,-0.238258,0.968415,1.012555,0.201051,0.550695,1.320987,-0.281864,0.028790,-0.224493,-0.180069,0.093488,0.612038,-0.489551,0.262000,0.064960,0.021008,-0.187501,0.463430,1.377456,0.146391,0.462226,-0.355290,0.448386,0.430152,0.615503,-1.471983,-0.258431,0.674870,-0.166195,0.139985,0.705610
1.821305,0.077520,0.763400,0.064670,-0.035066,-0.238295,0.968403,1.012689,0.200842,0.550810,1.321024,-0.281679,0.028767,-0.224500,-0.180355,0.093400,0.611881,-0.490125,0.262000,0.065222,0.021209,-0.187312,0.462500,1.377597,0.145309,0.462058,-0.356274,0.447806,0.429424,0.615620,-1.471628,-0.257099,0.674821,-0.166552,0.138725,0.710021
